Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,1,Sex,5,4
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,2,Sex,4,4
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,3,No_Sex,1,4
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,4,Sex,1,2
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,5,No_Sex,1,2
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,6,No_Sex,5,4
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,7,Sex,1,1
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,8,No_Sex,1,5
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,9,No_Sex,5,3
1,Gender Non-Binary,24,White,English,University Undergraduate Program,50,38,3.748251748,5,10,Sex,3,4
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,1,Sex,5,4
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,2,Sex,4,2
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,3,No_Sex,1,1
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,4,Sex,1,4
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,5,No_Sex,2,4
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,6,No_Sex,4,3
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,7,Sex,4,2
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,8,No_Sex,4,5
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,9,No_Sex,1,4
2,Male,18,White,English,University Undergraduate Program,36,40,2.520979021,13,10,Sex,4,5
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,1,Sex,5,4
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,2,Sex,2,2
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,3,No_Sex,1,2
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,4,Sex,1,3
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,5,No_Sex,1,4
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,6,No_Sex,5,4
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,7,Sex,4,4
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,8,No_Sex,1,4
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,9,No_Sex,3,1
3,Male,23,White,European,University Undergraduate Program,32,40,2.636363636,3,10,Sex,3,1
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,1,Sex,5,4
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,2,Sex,1,2
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,3,No_Sex,1,5
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,4,Sex,1,2
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,5,No_Sex,1,3
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,6,No_Sex,4,4
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,7,Sex,1,4
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,8,No_Sex,1,5
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,9,No_Sex,5,3
4,Male,19,White,Other,University Undergraduate Program,20,22,2.699300699,16,10,Sex,2,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,1,Sex,5,5
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,2,Sex,1,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,3,No_Sex,1,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,4,Sex,1,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,5,No_Sex,2,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,6,No_Sex,1,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,7,Sex,1,2
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,8,No_Sex,2,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,9,No_Sex,2,4
5,Male,44,White,English,A-Levels or Equivalent,23,26,3.391608392,4,10,Sex,1,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,1,Sex,5,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,2,Sex,1,3
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,3,No_Sex,1,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,4,Sex,2,2
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,5,No_Sex,2,3
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,6,No_Sex,4,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,7,Sex,1,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,8,No_Sex,4,4
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,9,No_Sex,3,2
6,Male,21,White,European,University Undergraduate Program,27,31,2.877622378,6,10,Sex,1,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,1,Sex,5,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,2,Sex,4,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,3,No_Sex,1,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,4,Sex,2,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,5,No_Sex,2,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,6,No_Sex,4,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,7,Sex,1,3
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,8,No_Sex,2,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,9,No_Sex,3,4
7,Female,19,White,European,A-Levels or Equivalent,34,32,3.255244755,4,10,Sex,4,4
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,1,Sex,3,4
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,2,Sex,1,2
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,3,No_Sex,2,3
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,4,Sex,1,1
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,5,No_Sex,2,4
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,6,No_Sex,3,2
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,7,Sex,1,1
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,8,No_Sex,1,2
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,9,No_Sex,3,1
8,Male,23,White,English,A-Levels or Equivalent,37,27,3.013986014,9,10,Sex,4,4
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,1,Sex,5,1
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,2,Sex,1,3
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,3,No_Sex,3,3
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,4,Sex,1,1
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,5,No_Sex,3,3
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,6,No_Sex,4,4
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,7,Sex,1,1
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,8,No_Sex,1,5
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,9,No_Sex,1,5
9,Female,28,White,English,GCSes or Equivalent,46,27,3.391608392,8,10,Sex,3,5
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,1,Sex,5,4
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,2,Sex,4,3
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,3,No_Sex,1,2
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,4,Sex,1,3
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,5,No_Sex,2,3
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,6,No_Sex,4,4
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,7,Sex,1,2
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,8,No_Sex,2,3
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,9,No_Sex,2,1
10,Female,21,White,English,University Undergraduate Program,33,32,3.486013986,4,10,Sex,3,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,1,Sex,4,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,2,Sex,2,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,3,No_Sex,1,3
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,4,Sex,1,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,5,No_Sex,1,3
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,6,No_Sex,4,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,7,Sex,1,3
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,8,No_Sex,1,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,9,No_Sex,3,4
11,Female,23,White,English,University Undergraduate Program,21,33,3.391608392,4,10,Sex,1,4
12,Male,18,White,European,Primary School,37,26,3.622377622,9,1,Sex,2,3
12,Male,18,White,European,Primary School,37,26,3.622377622,9,2,Sex,3,4
12,Male,18,White,European,Primary School,37,26,3.622377622,9,3,No_Sex,4,4
12,Male,18,White,European,Primary School,37,26,3.622377622,9,4,Sex,2,2
12,Male,18,White,European,Primary School,37,26,3.622377622,9,5,No_Sex,3,4
12,Male,18,White,European,Primary School,37,26,3.622377622,9,6,No_Sex,3,3
