SubjectId,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Realism,Realism_Sex,Realism_NoSex,Vignettes_All,Vignettes_Sex,Vignettes_NoSex,Vign_Sex_1,Vign_Sex_2,Vign_NoSex_3,Vign_Sex_4,Vign_NoSex_5,Vign_NoSex_6,Vign_Sex_7,Vign_NoSex_8,Vign_NoSex_9,Vign_Sex_10,Prolific
R_tJOhNFYKtHoK2TD,3,24,1,2,4,50,38,3.748251748,5,33,15,18,27,14,13,5,4,1,1,1,5,1,1,5,3,4520291
R_3D6B1bBR6EOXaZT,1,18,1,2,4,36,40,2.520979021,13,34,17,17,30,18,12,5,4,1,1,1,5,1,1,5,3,8480391
R_3PBl8xwCxzGrUUj,1,23,1,3,4,32,40,2.636363636,3,29,14,15,26,15,11,5,4,1,1,1,5,1,1,5,3,7526338
R_31HOYQBwqivGxBQ,1,19,1,8,4,20,22,2.699300699,16,36,16,20,22,10,12,5,4,1,1,1,5,1,1,5,3,4230280
R_3Wz7aVeGUXwTNfz,1,44,1,2,3,23,26,3.391608392,4,39,19,20,17,9,8,5,4,1,1,1,5,1,1,5,3,1951136
R_e8n9rFhGQn5vlYt,1,21,1,3,4,27,31,2.877622378,6,34,17,17,24,10,14,5,4,1,1,1,5,1,1,5,3,9307832
R_pfl04nBLfHTcwBb,2,19,1,3,3,34,32,3.255244755,4,39,19,20,28,16,12,5,4,1,1,1,5,1,1,5,3,4525213
R_1KjWKhVOA381RLD,1,23,1,2,3,37,27,3.013986014,9,24,12,12,21,10,11,5,4,1,1,1,5,1,1,5,3,9418898
R_2ZICf2WJBoH0e0n,2,28,1,2,2,46,27,3.391608392,8,31,11,20,23,11,12,5,4,1,1,1,5,1,1,5,3,9928010
R_3j3BUD8DQZpHTm4,2,21,1,2,4,33,32,3.486013986,4,29,16,13,25,14,11,5,4,1,1,1,5,1,1,5,3,9227944
R_1r0LHgWJbJ9i3Q8,2,23,1,2,4,21,33,3.391608392,4,37,19,18,19,9,10,5,4,1,1,1,5,1,1,5,3,8916276
R_1LCnP1xq1LxwHtW,1,18,1,3,1,37,26,3.622377622,9,32,14,18,28,12,16,5,4,1,1,1,5,1,1,5,3,1676850
R_33xmdeGpanwtTQs,1,30,1,3,1,44,39,2.751748252,11,28,13,15,29,14,15,5,4,1,1,1,5,1,1,5,3,7655908
R_56gkCPHckGEgji9,1,20,1,3,3,40,40,3.34965035,4,35,21,14,21,11,10,5,4,1,1,1,5,1,1,5,3,4798724
R_BukAhA4CPPjmlSF,2,31,1,2,4,27,25,3.255244755,3,25,12,13,23,10,13,5,4,1,1,1,5,1,1,5,3,1390915
R_3NCdBkig2tYnF7e,1,22,1,3,2,17,28,3.255244755,3,42,21,21,18,10,8,5,4,1,1,1,5,1,1,5,3,8652583
R_3PCfGrtmFlHSx9r,1,21,1,3,4,39,24,2.888111888,11,25,12,13,16,6,10,5,4,1,1,1,5,1,1,5,3,8357758
R_3JDHu2dSqLmfQW0,1,21,1,3,4,43,45,2.122377622,8,35,16,19,24,13,11,5,4,1,1,1,5,1,1,5,3,4933657
R_2ccSfSIzFevBc2h,2,34,1,3,4,30,29,3.685314685,5,34,17,17,21,11,10,5,4,1,1,1,5,1,1,5,3,5616951
R_RqsGYfyZBzspCmJ,1,31,1,3,1,37,34,2.751748252,10,36,16,20,15,6,9,5,4,1,1,1,5,1,1,5,3,2206921
R_1NlTTHw47tLd9Wp,1,21,1,1,3,40,29,3.286713287,10,29,11,18,28,12,16,5,4,1,1,1,5,1,1,5,3,5449514
R_1ILWwlrPzniJ6C0,1,22,1,3,4,36,28,3.653846154,7,37,20,17,22,13,9,5,4,1,1,1,5,1,1,5,3,3109082
R_2WZ2ioP000UtC8Q,2,23,1,2,3,32,30,3.097902098,7,29,17,12,21,10,11,5,4,1,1,1,5,1,1,5,3,5102935
R_2sTiD6YiQE8fMbQ,1,29,1,2,5,24,29,3.108391608,8,39,20,19,29,14,15,5,4,1,1,1,5,1,1,5,3,7987646
R_3DvDTNlDHC7mkXv,1,21,1,3,3,52,33,2.751748252,6,32,16,16,29,16,13,5,4,1,1,1,5,1,1,5,3,9951139
R_3q8VkACTYzMtZjq,1,22,3,3,3,41,34,3.402097902,4,36,17,19,17,8,9,5,4,1,1,1,5,1,1,5,3,8676200
R_RlxRHgznLdHBjcl,1,29,1,3,3,32,30,3.307692308,6,34,18,16,22,10,12,5,4,1,1,1,5,1,1,5,3,3714619
R_pgV6xgBN1oBAEsp,2,27,1,3,5,30,37,3.685314685,6,39,21,18,25,12,13,5,4,1,1,1,5,1,1,5,3,2281521
R_2XgmfrqJ25wUwSM,2,36,1,8,6,44,32,3.108391608,6,36,20,16,32,17,15,5,4,1,1,1,5,1,1,5,3,5337474
R_1OvGQcqglilp7Yw,1,19,1,3,3,39,25,3.454545455,4,33,16,17,24,12,12,5,4,1,1,1,5,1,1,5,3,7925863
R_3qDLNzH87kxuifa,2,25,1,2,4,38,27,3.108391608,5,43,22,21,29,16,13,5,4,1,1,1,5,1,1,5,3,2711038
R_3PChpa8FssOSUOp,1,20,1,3,4,32,36,2.804195804,8,34,17,17,25,12,13,5,4,1,1,1,5,1,1,5,3,4845249
R_2AYi9f9mn8mq8FU,1,25,1,2,4,37,39,2.888111888,12,27,15,12,22,11,11,5,4,1,1,1,5,1,1,5,3,6942413
