Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism
1,3,24,1,2,4,50,38,3.748251748,5,3,No_Sex,1,4
2,1,18,1,2,4,36,40,2.520979021,13,3,No_Sex,1,1
3,1,23,1,3,4,32,40,2.636363636,3,3,No_Sex,1,2
4,1,19,1,8,4,20,22,2.699300699,16,3,No_Sex,1,5
5,1,44,1,2,3,23,26,3.391608392,4,3,No_Sex,1,4
6,1,21,1,3,4,27,31,2.877622378,6,3,No_Sex,1,4
7,2,19,1,3,3,34,32,3.255244755,4,3,No_Sex,1,4
8,1,23,1,2,3,37,27,3.013986014,9,3,No_Sex,2,3
9,2,28,1,2,2,46,27,3.391608392,8,3,No_Sex,3,3
10,2,21,1,2,4,33,32,3.486013986,4,3,No_Sex,1,2
11,2,23,1,2,4,21,33,3.391608392,4,3,No_Sex,1,3
12,1,18,1,3,1,37,26,3.622377622,9,3,No_Sex,4,4
13,1,30,1,3,1,44,39,2.751748252,11,3,No_Sex,2,4
14,1,20,1,3,3,40,40,3.34965035,4,3,No_Sex,1,2
15,2,31,1,2,4,27,25,3.255244755,3,3,No_Sex,1,1
16,1,22,1,3,2,17,28,3.255244755,3,3,No_Sex,1,4
17,1,21,1,3,4,39,24,2.888111888,11,3,No_Sex,1,2
18,1,21,1,3,4,43,45,2.122377622,8,3,No_Sex,1,3
19,2,34,1,3,4,30,29,3.685314685,5,3,No_Sex,1,4
20,1,31,1,3,1,37,34,2.751748252,10,3,No_Sex,1,4
21,1,21,1,1,3,40,29,3.286713287,10,3,No_Sex,1,4
22,1,22,1,3,4,36,28,3.653846154,7,3,No_Sex,1,3
23,2,23,1,2,3,32,30,3.097902098,7,3,No_Sex,1,4
24,1,29,1,2,5,24,29,3.108391608,8,3,No_Sex,1,4
25,1,21,1,3,3,52,33,2.751748252,6,3,No_Sex,4,4
26,1,22,3,3,3,41,34,3.402097902,4,3,No_Sex,1,3
27,1,29,1,3,3,32,30,3.307692308,6,3,No_Sex,1,3
28,2,27,1,3,5,30,37,3.685314685,6,3,No_Sex,1,3
29,2,36,1,8,6,44,32,3.108391608,6,3,No_Sex,5,4
30,1,19,1,3,3,39,25,3.454545455,4,3,No_Sex,1,4
31,2,25,1,2,4,38,27,3.108391608,5,3,No_Sex,1,4
32,1,20,1,3,4,32,36,2.804195804,8,3,No_Sex,2,5
33,1,25,1,2,4,37,39,2.888111888,12,3,No_Sex,1,2
34,1,20,1,3,3,37,27,3.171328671,3,3,No_Sex,1,2
35,1,41,1,2,4,45,36,3.129370629,4,3,No_Sex,1,3
36,1,18,2,2,4,44,29,2.961538462,13,3,No_Sex,1,4
37,1,23,4,7,5,32,34,2.993006993,6,3,No_Sex,1,4
38,1,35,1,2,5,56,33,2.426573427,8,3,No_Sex,2,3
39,2,32,1,3,3,33,29,3.402097902,3,3,No_Sex,1,3
40,2,38,1,3,3,43,23,3.307692308,7,3,No_Sex,2,4
41,2,24,2,3,3,41,28,3.454545455,6,3,No_Sex,1,3
42,1,22,1,3,4,39,33,3.171328671,10,3,No_Sex,1,4
43,1,27,1,3,6,27,29,3.664335664,5,3,No_Sex,1,3
44,1,20,1,3,3,38,27,1.86013986,12,3,No_Sex,3,5
45,1,21,1,3,2,37,30,3.192307692,5,3,No_Sex,2,4
46,2,20,1,8,4,31,40,3.559440559,3,3,No_Sex,1,3
47,2,45,3,2,4,31,36,1,16,3,No_Sex,1,5
48,2,32,1,2,5,20,27,4,3,3,No_Sex,1,3
49,1,25,2,4,4,48,28,3.402097902,7,3,No_Sex,1,4
50,1,18,1,3,1,36,30,3.034965035,4,3,No_Sex,1,5
51,1,18,1,3,3,42,49,2.867132867,7,3,No_Sex,1,4
52,2,28,1,3,4,18,48,3.559440559,3,3,No_Sex,1,2
53,2,19,1,3,4,22,29,3.685314685,3,3,No_Sex,1,4
54,1,18,1,3,1,39,36,3.307692308,7,3,No_Sex,1,4
55,2,21,1,3,2,41,33,3.402097902,6,3,No_Sex,1,2
56,2,22,1,3,5,26,49,3.412587413,6,3,No_Sex,1,2
57,2,46,1,3,4,33,33,3.548951049,9,3,No_Sex,1,4
58,1,32,2,3,4,36,23,3.255244755,4,3,No_Sex,1,4
59,2,26,1,3,4,17,35,3.517482517,10,3,No_Sex,1,2
60,1,18,1,3,3,38,29,2.342657343,6,3,No_Sex,1,4
61,1,19,1,3,3,39,30,3.013986014,10,3,No_Sex,1,3
62,1,22,1,3,4,28,45,3.181818182,8,3,No_Sex,1,4
63,2,38,1,2,2,24,36,3.685314685,4,3,No_Sex,1,4
64,2,20,1,3,3,46,26,3.412587413,3,3,No_Sex,1,2
65,1,36,1,3,4,19,37,1.807692308,14,3,No_Sex,1,2
66,2,34,1,3,4,39,37,3.653846154,5,3,No_Sex,1,2
67,1,19,1,2,4,35,43,2.646853147,11,3,No_Sex,1,2
68,1,22,1,3,4,36,22,2.793706294,12,3,No_Sex,3,3
69,1,20,1,3,2,37,19,2.877622378,4,3,No_Sex,1,4
70,2,25,1,3,5,47,23,3.527972028,8,3,No_Sex,1,4
71,3,27,1,3,5,42,39,3.223776224,9,3,No_Sex,1,2
72,1,28,1,3,4,31,34,3.045454545,6,3,No_Sex,1,2
73,1,18,1,3,3,53,30,3.013986014,11,3,No_Sex,4,5
74,1,20,1,3,1,44,23,2.91958042,11,3,No_Sex,1,5
75,2,35,1,3,4,26,36,3.045454545,6,3,No_Sex,1,2
76,1,22,1,3,3,20,46,3.087412587,10,3,No_Sex,1,4
77,2,25,3,8,4,26,34,3.863636364,3,3,No_Sex,4,3
78,2,19,1,3,2,20,36,2.667832168,8,3,No_Sex,1,4
79,1,21,1,3,4,24,35,3.548951049,9,3,No_Sex,1,4
80,2,26,1,3,4,54,38,3.559440559,8,3,No_Sex,1,4
81,1,53,1,3,2,18,33,2.111888112,8,3,No_Sex,1,3
82,1,32,1,3,5,44,30,2.437062937,3,3,No_Sex,1,3
